year,patcnty,agegrp,count
2008,Alameda,Total Births,20470
2008,Alameda,Older Mothers (35 years old or older),4714
2008,Alameda,Teen Mothers (15 years old to 19 years old),1319
2008,Alameda,Typical Aged Mothers (20 years old to 34 years old),14422
2008,Butte,Total Births,2464
2008,Butte,Older Mothers (35 years old or older),254
2008,Butte,Teen Mothers (15 years old to 19 years old),278
2008,Butte,Typical Aged Mothers (20 years old to 34 years old),1928
2008,Calaveras,Total Births,353
2008,Calaveras,Older Mothers (35 years old or older),41
2008,Calaveras,Teen Mothers (15 years old to 19 years old),29
2008,Calaveras,Typical Aged Mothers (20 years old to 34 years old),283
2008,Colusa,Total Births,365
2008,Colusa,Older Mothers (35 years old or older),44
2008,Colusa,Teen Mothers (15 years old to 19 years old),45
2008,Colusa,Typical Aged Mothers (20 years old to 34 years old),276
2008,Contra Costa,Total Births,12705
2008,Contra Costa,Older Mothers (35 years old or older),2745
2008,Contra Costa,Teen Mothers (15 years old to 19 years old),823
2008,Contra Costa,Typical Aged Mothers (20 years old to 34 years old),9131
2008,Del Norte,Total Births,300
2008,Del Norte,Older Mothers (35 years old or older),11
2008,Del Norte,Teen Mothers (15 years old to 19 years old),41
2008,Del Norte,Typical Aged Mothers (20 years old to 34 years old),247
2008,El Dorado,Total Births,1728
2008,El Dorado,Older Mothers (35 years old or older),333
2008,El Dorado,Teen Mothers (15 years old to 19 years old),110
2008,El Dorado,Typical Aged Mothers (20 years old to 34 years old),1285
2008,Fresno,Total Births,16517
2008,Fresno,Older Mothers (35 years old or older),1803
2008,Fresno,Teen Mothers (15 years old to 19 years old),2239
2008,Fresno,Typical Aged Mothers (20 years old to 34 years old),12440
2008,Glenn,Total Births,462
2008,Glenn,Older Mothers (35 years old or older),53
2008,Glenn,Teen Mothers (15 years old to 19 years old),54
2008,Glenn,Typical Aged Mothers (20 years old to 34 years old),355
2008,Humboldt,Total Births,1510
2008,Humboldt,Older Mothers (35 years old or older),179
2008,Humboldt,Teen Mothers (15 years old to 19 years old),141
2008,Humboldt,Typical Aged Mothers (20 years old to 34 years old),1189
2008,Imperial,Total Births,3172
2008,Imperial,Older Mothers (35 years old or older),347
2008,Imperial,Teen Mothers (15 years old to 19 years old),454
2008,Imperial,Typical Aged Mothers (20 years old to 34 years old),2365
2008,Inyo,Total Births,227
2008,Inyo,Older Mothers (35 years old or older),26
2008,Inyo,Teen Mothers (15 years old to 19 years old),24
2008,Inyo,Typical Aged Mothers (20 years old to 34 years old),177
2008,Kern,Total Births,14957
2008,Kern,Older Mothers (35 years old or older),1534
2008,Kern,Teen Mothers (15 years old to 19 years old),2268
2008,Kern,Typical Aged Mothers (20 years old to 34 years old),11138
2008,Kings,Total Births,2296
2008,Kings,Older Mothers (35 years old or older),198
2008,Kings,Teen Mothers (15 years old to 19 years old),362
2008,Kings,Typical Aged Mothers (20 years old to 34 years old),1732
2008,Lake,Total Births,678
2008,Lake,Older Mothers (35 years old or older),58
2008,Lake,Teen Mothers (15 years old to 19 years old),104
2008,Lake,Typical Aged Mothers (20 years old to 34 years old),514
2008,Lassen,Total Births,272
2008,Lassen,Older Mothers (35 years old or older),26
2008,Lassen,Teen Mothers (15 years old to 19 years old),27
2008,Lassen,Typical Aged Mothers (20 years old to 34 years old),218
2008,Los Angeles,Total Births,144471
2008,Los Angeles,Older Mothers (35 years old or older),27244
2008,Los Angeles,Teen Mothers (15 years old to 19 years old),14013
2008,Los Angeles,Typical Aged Mothers (20 years old to 34 years old),103051
2008,Madera,Total Births,2656
